Date,Open,High,Low,Close,Volume,SGOL Percent Change
2015-01-09,118.8,119.55,118.8,119.54,25126,0.011336717428088061
2015-01-12,119.73,120.91,119.73,120.84,46303,0.010875020913501787
2015-01-13,121.26,121.44,120.26,120.52,33976,-0.002648129758358264
2015-01-14,121.36,121.53,120.21,120.37,38287,-0.0012446067042813924
2015-01-15,122.71,124.0,122.69,123.32,85423,0.024507767716208217
2015-01-16,124.03,125.49,124.03,124.97,100131,0.013379824845929367
2015-01-20,126.09,127.04,125.99,126.65,59779,0.01344322637432982
2015-01-21,127.58,127.74,125.8,126.71,46503,0.0004737465455979528
2015-01-22,127.48,128.03,126.76,127.71,47684,0.007892036934732838
2015-01-23,126.88,126.9,125.85,126.73,35690,-0.0076736355806122925
2015-01-26,125.69,125.78,124.99,125.43,50019,-0.010258028880296699
2015-01-27,126.09,127.04,125.97,126.87,207498,0.011480507055728228
2015-01-28,125.99,126.31,125.36,125.92,67163,-0.007487979821864887
2015-01-29,124.5,124.61,122.67,123.06,68420,-0.022712833545108002
2015-01-30,123.87,125.86,123.35,125.81,61863,0.022346822688119605
2015-02-02,124.36,125.56,124.24,124.83,66126,-0.007789523885223804
2015-02-03,124.2,124.2,123.0,123.5,25347,-0.010654490106544845
2015-02-04,124.01,124.26,123.39,124.08,40594,0.004696356275303737
2015-02-05,123.4,124.21,123.02,124.21,42607,0.0010477111540940776
2015-02-06,121.51,121.86,120.45,120.98,70546,-0.026004347476048517
2015-02-09,121.27,121.72,121.27,121.56,9943,0.004794180856339869
2015-02-10,121.03,121.28,120.59,120.86,16574,-0.00575847318196776
2015-02-11,120.88,120.88,119.4,119.4,36517,-0.012080092669203957
2015-02-12,120.08,120.1,119.5,119.73,13056,0.0027638190954772934
2015-02-13,120.4,120.91,120.2,120.32,16240,0.004927754113421834
2015-02-17,118.75,118.87,117.93,118.31,36824,-0.016705452127659504
2015-02-18,118.28,118.86,117.33,118.65,44286,0.0028738061026118977
