Date,Open,High,Low,Close,Volume,IJS Percent Change
2015-03-30,118.14,119.49,118.14,119.16,104646,0.011201629327902252
2015-03-31,118.73,119.05,118.46,118.91,96629,-0.0020980194696206267
2015-04-01,118.96,118.98,117.86,118.8,303330,-0.0009250693802035359
2015-04-02,118.77,119.86,118.65,119.26,159289,0.0038720538720540265
2015-04-06,118.69,119.99,118.5,119.73,180713,0.00394096931074972
2015-04-07,119.47,119.73,118.77,118.77,113211,-0.0080180405913306
2015-04-08,118.87,119.69,118.76,119.25,60338,0.004041424602172272
2015-04-09,119.23,119.4,117.86,118.84,92475,-0.0034381551362683282
2015-04-10,119.21,119.54,119.06,119.32,60304,0.004039044092897903
2015-04-13,119.42,119.94,119.34,119.39,54578,0.0005866577271205209
2015-04-14,119.58,119.7,118.75,119.41,56981,0.00016751821760618846
2015-04-15,119.86,121.07,119.74,120.56,78099,0.009630684197303507
2015-04-16,120.43,120.63,120.05,120.15,64003,-0.003400796284007912
2015-04-17,119.32,119.35,117.83,118.28,107369,-0.01556387848522689
2015-04-20,118.78,119.94,118.78,119.58,69260,0.01099086912411229
2015-04-21,119.68,119.89,118.81,118.91,185954,-0.00560294363605951
2015-04-22,118.95,119.38,118.02,119.2,62406,0.002438819275081938
2015-04-23,118.99,120.0,118.94,119.82,50423,0.005201342281879073
2015-04-24,119.9,119.9,119.32,119.55,64214,-0.0022533800701051154
2015-04-27,119.8,120.62,118.22,118.76,137443,-0.0066081137599329764
2015-04-28,118.83,119.84,118.37,119.84,67375,0.0090939710340181
2015-04-29,119.19,119.46,118.61,118.64,41387,-0.010013351134846471
2015-04-30,117.98,118.1,116.3,116.74,70765,-0.016014834794335853
2015-05-01,117.0,117.51,116.33,117.31,133528,0.004882645194449253
2015-05-04,117.43,118.32,117.11,117.59,127995,0.0023868382917058284
2015-05-05,117.53,117.91,116.06,116.57,479817,-0.008674206990390454
2015-05-06,116.71,116.73,115.81,116.67,92185,0.0008578536501673284
2015-05-07,116.6,117.44,116.2,116.94,133791,0.002314219593725797
2015-05-08,117.96,118.04,117.45,117.56,71349,0.0053018642038653585
2015-05-11,117.55,118.44,117.31,117.61,72219,0.00042531473290230437
2015-05-12,117.29,117.58,115.9,117.19,57026,-0.003571124904344858
2015-05-13,117.46,117.7,116.7,117.17,62214,-0.00017066302585544424
2015-05-14,117.72,118.45,117.54,118.42,73225,0.01066825979346242
2015-05-15,118.21,118.29,117.76,118.24,110404,-0.0015200135112313218
2015-05-18,118.1,119.43,117.89,119.27,76044,0.008711096075778135
2015-05-19,119.11,119.14,118.55,119.0,130822,-0.0022637712752577865
2015-05-20,119.27,119.53,118.74,119.25,81622,0.0021008403361344463
2015-05-21,119.17,119.77,118.97,119.31,49991,0.0005031446540879614
2015-05-22,119.09,119.34,118.27,118.54,44951,-0.006453775877964918
2015-05-26,118.12,118.12,116.74,117.18,55446,-0.011472920533153408
2015-05-27,117.35,118.41,116.76,118.33,49257,0.009813961426864637
2015-05-28,118.03,118.46,117.64,118.46,39797,0.0010986224964082414
2015-05-29,118.33,118.45,117.15,117.62,61252,-0.007091001181833478
2015-06-01,118.21,118.55,116.91,117.97,56494,0.0029756844074135813
2015-06-02,117.49,119.16,117.49,118.47,54502,0.004238365686191514
2015-06-03,118.71,119.7,118.4,119.59,202044,0.009453870178104173
2015-06-04,119.08,119.35,118.2,118.44,42926,-0.009616188644535506
2015-06-05,118.06,119.07,117.35,119.01,48675,0.0048125633232016796
2015-06-08,118.81,119.04,118.23,118.33,57924,-0.00571380556255785
2015-06-09,118.41,118.74,117.72,118.21,52340,-0.0010141130736077697
2015-06-10,118.85,120.42,118.85,119.93,101295,0.01455037644869317
2015-06-11,120.23,120.31,119.66,120.07,69607,0.001167347619444481
2015-06-12,119.55,119.98,119.32,119.77,45259,-0.0024985425168650988
2015-06-15,119.04,119.38,117.79,119.08,58351,-0.005761041997161209
2015-06-16,118.89,120.08,118.89,119.87,40850,0.006634195498824269
2015-06-17,120.1,120.36,119.4,119.59,79377,-0.0023358638525068365
2015-06-18,120.1,121.11,119.85,120.69,124908,0.009198093486077363
2015-06-19,120.97,121.08,120.42,120.74,102984,0.0004142845306156495
2015-06-22,121.3,121.62,121.13,121.27,65965,0.004389597482193253
2015-06-23,121.36,122.03,121.26,121.92,48469,0.005359940628349991
2015-06-24,121.62,121.63,120.67,120.8,55689,-0.009186351706036766
2015-06-25,121.25,121.25,120.2,120.79,64457,-8.278145695361783e-05
2015-06-26,120.93,121.17,120.07,120.74,43498,-0.00041394155145302314
2015-06-29,120.11,120.25,117.69,117.86,231649,-0.023852907073049545
2015-06-30,118.78,118.78,117.51,117.76,78743,-0.0008484642796537933
2015-07-01,118.72,119.09,117.57,118.27,495499,0.004330842391304213
2015-07-02,118.42,118.44,117.08,117.46,162555,-0.006848735943180917
2015-07-06,116.48,117.62,116.31,117.15,87509,-0.0026391963221521486
2015-07-07,117.17,117.25,115.02,116.97,584891,-0.0015364916773368265
2015-07-08,116.19,116.74,114.79,115.49,86562,-0.012652816961614133
2015-07-09,116.64,116.9,115.47,115.57,71350,0.000692700666724333
2015-07-10,116.72,117.07,116.31,116.94,68578,0.01185428744483863
2015-07-13,117.45,118.04,117.45,117.93,65462,0.008465879938430065
2015-07-14,117.71,118.7,117.71,118.53,63943,0.005087763927753786
2015-07-15,118.46,118.46,117.33,117.47,63344,-0.008942883658145662
2015-07-16,118.14,118.72,118.03,118.2,71411,0.006214352600663942
2015-07-17,118.17,118.27,117.0,117.24,82321,-0.008121827411167626
2015-07-20,117.2,117.2,116.17,116.38,201930,-0.007335380416240156
2015-07-21,116.51,117.24,115.75,116.02,67319,-0.0030933150025778122
2015-07-22,115.52,116.16,115.52,115.99,48604,-0.00025857610756763183
2015-07-23,116.2,116.2,114.32,114.52,70932,-0.012673506336753126
2015-07-24,114.4,114.62,112.77,112.97,89736,-0.01353475375480262
2015-07-27,112.33,112.71,111.85,112.12,76107,-0.00752412144817205
2015-07-28,112.42,113.07,110.92,112.86,87111,0.006600071352122594
2015-07-29,112.83,113.86,112.5,113.55,88083,0.00611376927166396
2015-07-30,113.34,114.08,113.28,113.98,58023,0.0037868780273007108
2015-07-31,114.14,115.1,114.14,114.58,50761,0.005264081417792443
2015-08-03,114.61,114.61,113.06,113.79,96860,-0.006894746028975329
2015-08-04,113.94,114.6,113.5,113.75,83076,-0.0003515247385534881
2015-08-05,114.28,115.36,113.69,114.13,348893,0.003340659340659302
2015-08-06,114.21,114.41,112.63,113.5,68901,-0.005520021028651456
2015-08-07,112.99,113.4,112.27,112.6,97349,-0.007929515418502286
2015-08-10,113.1,114.36,113.1,114.25,103027,0.014653641207815316
2015-08-11,113.52,113.79,112.85,113.37,67603,-0.007702407002188161
2015-08-12,112.71,113.13,111.59,113.0,59730,-0.0032636499955897014
2015-08-13,112.92,113.4,112.54,112.69,87071,-0.002743362831858387
2015-08-14,112.74,113.82,112.63,113.69,63773,0.008873901854645538
2015-08-17,113.47,114.64,113.04,114.36,79875,0.005893218400914835
