Date,Open,High,Low,Close,Volume,SHV Percent Change
2011-12-30,,,,110.23,0,0.00018147173577731657
2012-01-03,110.21,110.23,110.21,110.21,36894,-0.00018143880976151383
2012-01-04,110.22,110.22,110.21,110.21,55458,0.0
2012-01-05,110.23,110.23,110.21,110.21,68016,0.0
2012-01-06,110.23,110.23,110.22,110.22,3286,9.073586788854726e-05
2012-01-09,110.21,110.23,110.21,110.22,173289,0.0
2012-01-10,110.23,110.23,110.21,110.22,37016,0.0
2012-01-11,110.22,110.23,110.21,110.22,33594,0.0
2012-01-12,110.22,110.22,110.21,110.21,7318,-9.072763563788833e-05
2012-01-13,,,,110.22,0,9.073586788854726e-05
2012-01-17,110.21,110.23,110.21,110.22,34291,0.0
2012-01-18,110.21,110.23,110.21,110.22,13516,0.0
2012-01-19,110.23,110.23,110.2,110.22,13562,0.0
2012-01-20,110.22,110.22,110.2,110.2,18327,-0.0001814552712755546
2012-01-23,110.21,110.21,110.2,110.2,8563,0.0
2012-01-24,110.2,110.22,110.2,110.22,66453,0.00018148820326668869
2012-01-25,110.2,110.23,110.2,110.23,10915,9.072763563788833e-05
2012-01-26,110.21,110.23,110.21,110.22,31687,-9.07194048807014e-05
2012-01-27,110.23,110.23,110.2,110.2,16101,-0.0001814552712755546
2012-01-30,110.2,110.21,110.2,110.21,15421,9.074410163334434e-05
2012-01-31,110.2,110.22,110.2,110.21,122642,0.0
2012-02-01,110.2,110.21,110.2,110.2,28332,-9.073586788854726e-05
2012-02-02,110.2,110.2,110.19,110.19,35590,-9.074410163345537e-05
2012-02-03,110.19,110.2,110.18,110.18,127740,-9.075233687261264e-05
2012-02-06,110.19,110.2,110.19,110.2,7341,0.00018152114721359247
2012-02-07,110.19,110.2,110.19,110.19,8457,-9.074410163345537e-05
2012-02-08,110.18,110.2,110.05,110.19,23161,0.0
2012-02-09,110.19,110.2,110.18,110.18,7397,-9.075233687261264e-05
2012-02-10,110.18,110.19,110.18,110.18,13437,0.0
2012-02-13,110.2,110.2,110.18,110.18,14075,0.0
2012-02-14,110.18,110.19,110.18,110.18,120566,0.0
2012-02-15,110.18,110.19,110.18,110.19,4170,9.076057360668521e-05
2012-02-16,110.18,110.2,110.18,110.18,25304,-9.075233687261264e-05
2012-02-17,110.19,110.2,110.17,110.18,10786,0.0
2012-02-21,110.18,110.19,110.18,110.18,50042,0.0
2012-02-22,110.2,110.2,110.18,110.2,6518,0.00018152114721359247
2012-02-23,110.2,110.2,110.18,110.2,30585,0.0
2012-02-24,110.18,110.2,110.18,110.2,14130,0.0
2012-02-27,110.18,110.18,110.18,110.18,21693,-0.0001814882032667997
2012-02-28,110.18,110.2,110.18,110.2,43466,0.00018152114721359247
2012-02-29,110.18,110.22,110.18,110.2,37017,0.0
2012-03-01,110.18,110.19,110.18,110.18,24990,-0.0001814882032667997
2012-03-02,110.18,110.19,110.18,110.18,7576,0.0
2012-03-05,110.18,110.2,110.18,110.2,26784,0.00018152114721359247
2012-03-06,110.18,110.2,110.18,110.18,14494,-0.0001814882032667997
2012-03-07,110.18,110.2,110.18,110.2,11863,0.00018152114721359247
2012-03-08,110.18,110.19,110.18,110.19,1370,-9.074410163345537e-05
2012-03-09,110.18,110.2,110.18,110.2,13344,9.075233687272366e-05
2012-03-12,110.18,110.2,110.18,110.2,3864,0.0
2012-03-13,110.18,110.19,110.18,110.19,8604,-9.074410163345537e-05
2012-03-14,110.19,110.2,110.19,110.2,14476,9.075233687272366e-05
2012-03-15,110.18,110.2,110.18,110.19,63253,-9.074410163345537e-05
2012-03-16,110.2,110.2,110.18,110.19,10981,0.0
2012-03-19,110.18,110.18,110.18,110.18,4242,-9.075233687261264e-05
2012-03-20,110.18,110.19,110.18,110.18,4764,0.0
2012-03-21,110.2,110.2,110.18,110.18,14662,0.0
2012-03-22,110.19,110.2,110.18,110.19,32651,9.076057360668521e-05
2012-03-23,110.18,110.2,110.18,110.19,1220,0.0
2012-03-26,110.18,110.19,110.18,110.18,12710,-9.075233687261264e-05
2012-03-27,110.19,110.19,110.18,110.18,51026,0.0
2012-03-28,110.18,110.2,110.18,110.2,43580,0.00018152114721359247
2012-03-29,110.18,110.19,110.18,110.19,6373,-9.074410163345537e-05
2012-03-30,110.2,110.2,110.18,110.19,12243,0.0
2012-04-02,110.19,110.2,110.18,110.2,41594,9.075233687272366e-05
2012-04-03,110.2,110.2,110.18,110.18,10869,-0.0001814882032667997
